0 : 第一卷 平凡的世界 前置词 
1 : 第一卷 平凡的世界 第一章 孔庙祈福 
2 : 第二章 深夜探险 
3 : 第三章 中考大劫，贿赂蛋糕哇 
4 : 正式引入文 
5 : 第一卷 平凡的世界 第四章 中考完结 万象异动 
6 : 第一卷 平凡的世界 第五章 鬼宅惊魂（1） 
7 : 第一卷 平凡的世界 第六章 鬼宅惊魂（2） 
8 : 第一卷 平凡的世界 第七章 鬼宅惊魂（3） 
9 : 第一卷 平凡的世界 第八章 鬼宅惊魂（4）我hole不住了 
10 : 第一卷 平凡的世界 第九章 脱胎换骨 恐怖木乃伊 
11 : 第一卷 平凡的世界 第十章 生死考验 是孔子吗 
12 : 第一卷 平凡的世界 第十一章 涅盘五世 
13 : 第一卷 平凡的世界 第十二章 魔神降临最后的生机 
14 : 第一卷 平凡的世界 第十三章 灭世 
15 : 第一卷 平凡的世界 第十四章 守护 
16 : 第一卷 平凡的世界 第十五章 平静的生活 
17 : 第二卷 灵异的杀手 第十六章 生化魔人 
18 : 第二卷 灵异的杀手 第十七章 校园杀人事件 
19 : 第二卷 灵异的杀手 第十八章 基因变异 
20 : 第二卷 灵异的杀手 第十九章 神秘的飞行日记 
21 : 第二卷 灵异的杀手 第二十章 梦中男人 
22 : 第二卷 灵异的杀手 第二十一章 破解 
23 : 第三卷 凡尘烟云 第二十二章 恐怖游轮 
24 : 第三卷 凡尘烟云 第二十三章 初来乍到 
25 : 第三卷 凡尘烟云 第二十四章 奇珍异果 
26 : 第三卷 凡尘烟云 第二十五章 天地法则 
27 : 第三卷 凡尘烟云 第二十六章 红颜故人 
28 : 第三卷 凡尘烟云 第二十七章 魑魅魍魉 
29 : 第三卷 凡尘烟云 第二十八章 玄雨 
30 : 第三卷 凡尘烟云 第二十九章 魔之领域 
31 : 第三卷 凡尘烟云 第三十章 探险队 
32 : 第三卷 凡尘烟云 第三十一章 黑色行动 
33 : 第三卷 凡尘烟云 第三十二章 祭坛血煞 
34 : 第三卷 凡尘烟云 第三十三章 八十一天罡猩 
35 : 第三卷 凡尘烟云 第三十四章 信春哥？ 
36 : 第三卷 凡尘烟云 第三十五章 宫爆鸡丁 
37 : 第三卷 凡尘烟云 第三十六章 救世主 
38 : 第三卷 凡尘烟云 第三十七章 被诅咒的飞船 
39 : 第三卷 凡尘烟云 第三十八章 山重水复 
40 : 对不起，暂时可能更新不出来 
41 : 第三卷 凡尘烟云 第三十九章 一定是打开方式不对！ 
42 : 第三卷 凡尘烟云 第四十章 渡劫 
43 : 第三卷 凡尘烟云 第四十一章 梵唱 
44 : 第三卷 凡尘烟云 第四十二章 一万年的等候 
45 : 第三卷 凡尘烟云 第四十三章 潘多拉魅影迷宫 
46 : 第三卷 凡尘烟云 第四十四章 星云筑基 
47 : 第三卷 凡尘烟云 第四十五章 大逃杀（上） 
48 : 第三卷 凡尘烟云 第四十六章 大逃杀（下） 
49 : 第三卷 凡尘烟云 第四十七章 星星张海五？！ 
50 : 第三卷 凡尘烟云 第四十八章 星虫 
51 : 第三卷 凡尘烟云 第四十九章 魔镜遗骸 
52 : 第三卷 凡尘烟云 第五十章 山清水秀冰凉一夏 
53 : 第三卷 凡尘烟云 第五十一章 放手一搏，生死考验 
54 : 第三卷 凡尘烟云 第五十二章 回到地球 
55 : 第三卷 凡尘烟云 第五十三章 最后的梦境 
56 : 第四卷 逆世界 第五十四章 隐退江湖 
57 : 第四卷 逆世界 第五十五章 撒旦 
58 : 第四卷 逆世界 第五十六章 神秘魔龙 
59 : 第四卷 逆世界 第五十七章 反转世界 
60 : 第四卷 逆世界 第五十八章 你不会孤单一个人 
61 : 第四卷 逆世界 第五十九章 韩立出手 
62 : 第四卷 逆世界 第六十章 初遇鬼怪 
63 : 第四卷 逆世界 第六十一章 沉睡 
64 : 第四卷 逆世界 第六十二章 梦境 
65 : 第四卷 逆世界 第六十三章 深海蛟龙 
66 : 第四卷 逆世界 第六十四章 诺亚方舟与蓝石巨人 
67 : 第四卷 逆世界 第六十五章 山爷 
68 : 第四卷 逆世界 第六十六章 天裂大战（一） 
69 : 第四卷 逆世界 第六十六章 天裂大战（二） 
70 : 第四卷 逆世界 第六十七章 天裂大战（三） 
71 : 第四卷 逆世界 第六十八章 农夫三拳 
72 : 第四卷 逆世界 第六十九章 穿越时空的结婴 
73 : 第四卷 逆世界 第七十章 神魔大冒险之旅 
74 : 第四卷 逆世界 第七十一章 穿越魔兽 
75 : 第四卷 逆世界 第七十二章 M78星云 
76 : 第四卷 逆世界 第七十三章 光流雨 
77 : 第四卷 逆世界 第七十四章 剑圣与剑魔 
78 : 第四卷 逆世界 第七十五章 卍解 
79 : 第四卷 逆世界 第七十六章 月华 
80 : 第四卷 逆世界 第七十七章 失踪 
81 : 第四卷 逆世界 第七十八章 祭品 
82 : 第四卷 逆世界 第七十九章 元湮流元婴大师 
83 : 第四卷 逆世界 第八十章 凹凸曼的逆袭 
84 : 第四卷 逆世界 第八十一章 时空失控 
85 : 第四卷 逆世界 第八十二章 梦回飘渺云间 
86 : 全新章节开始啦（简介） 
87 : 第五卷 综合世界 第八十三章 失踪之后 
88 : 第五卷 综合世界 第八十四章 邪门法力 
89 : 第五卷 综合世界 第八十五章 死亡赞歌 
90 : 第五卷 综合世界 第八十六章 破封 
91 : 第五卷 综合世界 第八十七章 取舍 
92 : 第五卷 综合世界 第八十八章 伪冥液与伏龙飞刀 
93 : 第五卷 综合世界 第八十九章 叹服 
94 : 第五卷 综合世界 第八十九章 卡莫西多老人 
