0 : 写在所有章节之前 
1 : 引子 
2 : 第一章 平步小贼也救美 
3 : 第二章 谁敢动我的女人 
4 : 第三章 做了同样的噩梦 
5 : 第四章 改个名字叫青云 
6 : 第五章 一步青云半步羽 
7 : 第六章 习水国的翔公主 
8 : 第七章 新坟旧怨苦夜长 
9 : 第八章 赤烟神剑的传说 
10 : 第九章 你敢戏弄本姑娘 
11 : 第十章 编号甲字第十三 
12 : 第十一章 有心无意烧神殿 
13 : 第十二章 乌夜山上夜啼洞 
14 : 第十三章 虫子足有半米长 
15 : 第十四章 青云双刀斗夜蝶 
16 : 第十五章 夜蝶埋下大祸根 
17 : 第十六章 断水封喉兵如神 
18 : 第十七章 有生命的活暗器 
19 : 第十八章 魔星的复仇之火 
20 : 第十九章 复仇从王宫开始 
21 : 第二十章 误入死亡大沼泽 
22 : 第二十一章 沼泽的死亡考验 
23 : 第二十二章 沼泽里跑出鬼了 
24 : 第二十三章 飞越离岛回大陆 
25 : 第二十四章 意外重回蓝家港 
26 : 第二十五章 一片痴心青云散 
27 : 第二十六章 锒铛入狱吃牢饭 
28 : 第二十七章 神殿和五位神符 
29 : 第二十八章 主将是个大美女 
30 : 第二十九章 捂脸的美女来了 
31 : 第三十章 辛白第一次出手 
32 : 第三十一章 改天我会再找你 
33 : 第三十二章 你叫我紫翎就行 
34 : 第三十三章 兄弟你会蜕皮吗 
35 : 第三十四章 寄生蜂伤了紫翎 
36 : 第三十五章 青云哥抱我上床 
37 : 第三十六章 再次出现的老妇 
38 : 第三十七章 你去哪我去哪儿 
39 : 第三十八章 我就是来要人的 
40 : 第三十九章 我的暗器会吃肉 
41 : 第四十章 紫翎就是喜欢你 
42 : 第四十一章 以后不许赶我走 
43 : 第四十二章 龙血山上龙血竭 
44 : 第四十三章 妙手仙子倒戈了 
45 : 第四十四章 苏儿说你是坏人 
46 : 第四十五章 受父神诅咒的人 
47 : 第四十六章 辛白的真正实力 
48 : 第四十七章 母女反目因仇怨 
49 : 第四十八章 大雾之都依斯城 
50 : 第四十九章 加价加价再加价 
51 : 第五十章 羽蛇之吻的威力 
52 : 第五十一章 烧毁灵魂的火焰 
53 : 第五十二章 假蓝羽是真紫翎 
54 : 第五十三章 勾魂摄魄傀儡术 
55 : 第五十四章 万化辛白的秘史 
56 : 第五十五章 翎儿要嫁给死人 
57 : 第五十六章 尸体也值一百万 
58 : 第五十七章 地下之城忘川河 
59 : 第五十八章 生命在等待萌发 
60 : 第五十九章 小舟偷渡忘川河 
61 : 第六十章 吞噬生命的河水 
62 : 第六十一章 挑战魑魅城尊者 
63 : 第六十二章 辛酸陆莞说往事 
64 : 第六十三章 望月千颜守望剑 
65 : 第六十四章 我们早就是一伙 
66 : 第六十五章 巫术役使披毛犀 
67 : 第六十六章 青云再战厉娇娘 
68 : 第六十七章 绝对力量降巨犀 
69 : 第六十八章 你也算是极品了 
70 : 第六十九章 葬花秋泽叙愁怨 
71 : 第七十章 葬花泽中葬落花 
72 : 第七十一章 琴冢外的落魂铃 
73 : 第七十二章 一座空墓石瑶琴 
74 : 第七十三章 寒烟山下寒烟居 
75 : 第七十四章 寂静盆地塔尔城 
76 : 第七十五章 平步神医云若兮 
77 : 第七十六章 琴冢刀法蚀月步 
78 : 第七十七章 我专杀神殿的人 
79 : 第七十八章 凶神青云恶名传 
80 : 第七十九章 椋金湖边摘星阁 
81 : 第八十章 精灵小鬼赫苏儿 
82 : 第八十一章 我们是来看热闹 
83 : 第八十二章 上谷镇四方混战 
84 : 第八十三章 一定要赶上青云 
85 : 第八十四章 复活的守望长剑 
86 : 第八十五章 狼尾关下露行踪 
87 : 第八十六章 归雁楼上纷乱多 
88 : 第八十七章 四目缱绻两心同 
89 : 第八十八章 因情生得仇怨重 
90 : 第八十九章 苏儿要求救慕晴 
91 : 第九十章 一夜暴富愁白头 
